alt,en,es
🔒,locked,bloqueado
🔓,unlocked,desbloqueado
🔑,key,llave
🗝,old key,llave vieja
🔨,hammer,martillo
⛏,pick,recoger
🛠,hammer and wrench,martillo y llave
🗡,dagger,daga
⚔,crossed swords,espadas cruzadas
🔫,pistol,pistola
🏹,bow and arrow,arco y flecha
🛡,shield,proteger
🔧,wrench,llave
🔩,nut and bolt,tuerca y el perno
⚙,gear,engranaje
🗜,clamp,abrazadera
⚖,balance scale,balanza
🔗,link,enlazar
⛓,chains,cadenas
⚗,alembic,alambique
🔬,microscope,microscopio
🔭,telescope,telescopio
📡,satellite antenna,antena satelital
💉,syringe,jeringuilla
💊,pill,pastilla
🚪,door,puerta
🛏,bed,cama
🚽,toilet,baño
🚿,shower,ducha
🛁,bathtub,bañera
🛒,shopping cart,compras
🚬,cigarette,cigarrillo
⚰,coffin,ataúd
⚱,funeral urn,urna funeraria
🗿,moai,moai
🏧,ATM sign,Signo de ATM
🚮,litter in bin sign,basura en el signo de bin
🚰,potable water,agua potable
♿,wheelchair,ruedas
🚺,women’s room,habitación de mujeres
🚻,restroom,Area de aseo
🚼,baby,bebé
🚾,water closet,inodoro
🛂,passport control,control de pasaportes
🛃,customs,aduana
🛄,baggage claim,recogida de equipaje
🛅,left luggage,dejar equipaje
⚠,warning,advertencia
🚸,children crossing,niños cruzando
☢,radioactive,radioactivo
☣,biohazard,riesgo biológico
⬆,up arrow,flecha arriba
↗,up-right arrow,flecha arriba-derecha
➡,arrow,flecha
↘,down-right arrow,flecha abajo-derecha
⬇,down arrow,flecha hacia abajo
↙,down-left arrow,flecha abajo-izquierda
⬅,left arrow,flecha izquierda
↖,up-left arrow,flecha arriba-izquierda
↕,up-down arrow,flecha arriba-abajo
↔,left-right arrow,flecha izquierda-derecha
↩,right arrow curving left,flecha derecha curva izquierda
↪,left arrow curving right,flecha izquierda curva derecha
⤴,right arrow curving up,flecha derecha curvándose
⤵,right arrow curving down,flecha derecha curvándose hacia abajo
🔃,clockwise vertical arrows,flechas verticales en sentido horario
🔄,counterclockwise arrows,de flechas hacia la izquierda
🔙,BACK arrow,VOLVER flecha
🔚,END arrow,Flecha END
🔛,ON! arrow,¡EN! flecha
🔜,SOON arrow,PRONTO arrow
🔝,TOP arrow,Flecha superior
🛐,place of worship,lugar de adoración
⚛,atom,átomo
🕉,om,om
✡,star of David,estrella de David
☸,wheel of dharma,rueda de dharma
☯,yin yang,yin yang
✝,latin cross,cruz latina
☦,orthodox cross,cruz ortodoxa
☮,peace,paz
🔀,shuffle tracks,de reproducción aleatoria
🔁,repeat,de repetición
🔂,repeat single,de repetición
▶,next play,de play siguiente
⏩,fast-forward,de avance rápido
⏯,play or pause,reproducir o pausar
◀,reverse,de retroceso
⏪,fast reverse,de retroceso rápido
🔼,upwards,hacia arriba
⏫,fast up,de subir rápido
🔽,downwards,hacia abajo
⏬,fast down,de bajada rápida
⏸,pause,de pausa
⏹,stop,Detener
⏺,record,grabar
⏏,eject,de expulsión
🎦,cinema,cine
🔅,dim,atenuado
🔆,bright,brillante
📶,antenna bars,barras de antena
♾,⊛ infinity,⊛ infinito
♻,recycling,reciclaje
⚜,fleur-de-lis,flor de lis
🔱,trident emblem,emblema del tridente
📛,name badge,insignia de identificación
⭕,heavy large,pesado
✅,check,verificación
☑,ballot box check,cheque de caja de votación
✔,heavy check mark,marca de verificación pesada
✖,heavy multiplication x,multiplicación pesada x
❌,cross mark,Marca de la cruz
❎,cross mark,de marca cruzada
➰,curly loop,bucle rizado
➿,double curly loop,doble rizo
❇,sparkle,brillar
‼,double exclamation mark,doble exclamación
⁉,exclamation question mark,signo de interrogación de exclamación
❓,question mark,signo de interrogación
❔,white question mark,signo de interrogación
❕,white exclamation mark,signo de exclamación
❗,exclamation mark,signo de exclamación
〰,wavy dash,tablero ondulado
©,copyright,derechos de autor
®,registered,registrado
™,trade mark,marca comercial
#️⃣,keycap: #,keycap: #
*️⃣,keycap: *,keycap: *
🔤,letters,letras
🆒,COOL,COOL
🆓,FREE,LIBRE
ℹ,information,información
🆔,ID,ID
🆕,NEW,NUEVO
🆖,NG,NG
🆗,OK,Aceptar
🆘,SOS,SOS
🆙,UP!,¡ARRIBA!
🆚,VS,VS
🈵,japanese,japones
🔴,red,rojo
🔵,blue,azul
⚪,white,blanco
⬜,white,blanco
⬛,cuadrado,cuadrado
🔻,red triangle pointed down,triángulo rojo apuntando hacia abajo
💠,diamond,diamante
🔘,radio,radio
🏁,chequered flag,bandera a cuadros
🚩,triangular flag,bandera triangular
🎌,crossed flags,banderas cruzadas
🏴,flag,Bandera
🏳,flag,bandera
🏳️‍🌈,flag,bandera
🏴‍☠️,⊛ pirate flag,⊛ bandera pirata
